t[s],q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3
0.7875,0,0.205655424938722,-0.124791372830305,0,0.205655424938722,-0.124791372830305,0,0.241348685690707,-0.203720174794354,0,0.241348685690707,-0.203720174794354,0,-6.59965327268404,14.1969912477984,0,-6.59965327268404,14.1969912477984,0,3.2511347734181,-16.2242246732165,0,3.2511347734181,-16.2242246732165,0,0.506634954303018,0.086262124160404,0,0.506634954303018,0.086262124160404,0,0.596678806485083,0.131604525943995,0,0.596678806485083,0.131604525943995
0.79,0,0.189699941432401,-0.088326633195737,0,0.189699941432401,-0.088326633195737,0,0.250496759504159,-0.244497064646637,0,0.250496759504159,-0.244497064646637,0,-6.54109796097734,14.407486912289,0,-6.54109796097734,14.407486912289,0,3.42401602244307,-16.3246894223253,0,3.42401602244307,-16.3246894223253,0,0.586619827291796,0.040004988240968,0,0.586619827291796,0.040004988240968,0,0.684594582884793,0.154724690398668,0,0.684594582884793,0.154724690398668
0.7925,0,0.173840610359732,-0.051361361643987,0,0.173840610359732,-0.051361361643987,0,0.260136597022349,-0.285482943075772,0,0.260136597022349,-0.285482943075772,0,-6.48541671957873,14.6172878804413,0,-6.48541671957873,14.6172878804413,0,3.60453291068375,-16.420966984199,0,3.60453291068375,-16.420966984199,0,0.615494048362049,0.025995485874768,0,0.615494048362049,0.025995485874768,0,0.724256983918658,0.163056180159002,0,0.724256983918658,0.163056180159002
0.795,0,0.158031315959257,-0.013917644354806,0,0.158031315959257,-0.013917644354806,0,0.270307322661944,-0.326650532768152,0,0.270307322661944,-0.326650532768152,0,-6.43926698496827,14.822917719164,0,-6.43926698496827,14.822917719164,0,3.79613817200595,-16.5101701292257,0,3.79613817200595,-16.5101701292257,0,0.533369920856258,0.081999338116398,0,0.533369920856258,0.081999338116398,0,0.659174861830379,0.139238219452375,0,0.659174861830379,0.139238219452375
0.7975,0,0.142237036302071,0.023987902552021,0,0.142237036302071,0.023987902552021,0,0.281042844520979,-0.367977027308997,0,0.281042844520979,-0.367977027308997,0,-6.40792693894562,15.0215882479752,0,-6.40792693894562,15.0215882479752,0,4.00162240824292,-16.5899760971658,0,4.00162240824292,-16.5899760971658,0,0.292541397844688,0.238303806126424,0,0.292541397844688,0.238303806126424,0,0.444141730314295,0.069377664866416,0,0.444141730314295,0.069377664866416
0.8,0,0.126569037156932,0.062410793347779,0,0.126569037156932,0.062410793347779,0,0.292308286240908,-0.40949857533758,0,0.292308286240908,-0.40949857533758,0,-6.37848736135635,15.2195868596183,0,-6.37848736135635,15.2195868596183,0,4.21504508433613,-16.6655054459048,0,4.21504508433613,-16.6655054459048,0,0.005934521030475,0.426582198162637,0,0.005934521030475,0.426582198162637,0,0.182755146756553,-0.014693044591384,0,0.182755146756553,-0.014693044591384
0.8025,0,0.111241897958876,0.101457483396329,0,0.111241897958876,0.101457483396329,0,0.304020193390626,-0.451292961685923,0,0.304020193390626,-0.451292961685923,0,-6.32519443058089,15.4296104450953,0,-6.32519443058089,15.4296104450953,0,4.42429942037274,-16.7471354739634,0,4.42429942037274,-16.7471354739634,0,-0.100080473588706,0.50886308008752,0,-0.100080473588706,0.50886308008752,0,0.083703469441546,-0.048848408792193,0,0.083703469441546,-0.048848408792193
0.805,0,0.096472369913986,0.14123549890138,0,0.096472369913986,0.14123549890138,0,0.316094090372561,-0.493438846426296,0,0.316094090372561,-0.493438846426296,0,-6.22202431683297,15.6644906303688,0,-6.22202431683297,15.6644906303688,0,4.61714901494306,-16.8453539825436,0,4.61714901494306,-16.8453539825436,0,0.203251376285107,0.345711005877367,0,0.203251376285107,0.345711005877367,0,0.357884185101171,0.031715909354483,0,0.357884185101171,0.031715909354483
0.8075,0,0.082454348606315,0.181840140534136,0,0.082454348606315,0.181840140534136,0,0.32845876247371,-0.53600493702809,0,0.32845876247371,-0.53600493702809,0,-6.04594153991019,15.9354909193215,0,-6.04594153991019,15.9354909193215,0,4.7830114914562,-16.9693710255172,0,4.7830114914562,-16.9693710255172,0,1.12641363693168,-0.191971462250891,0,1.12641363693168,-0.191971462250891,0,1.19796660568816,0.286219844998552,0,1.19796660568816,0.286219844998552
0.81,0,0.068963419367216,0.223142953708538,0,0.068963419367216,0.223142953708538,0,0.34128569955363,-0.578877785523557,0,0.34128569955363,-0.578877785523557,0,-5.82860426425333,16.2251745887095,0,-5.82860426425333,16.2251745887095,0,4.94157691740192,-17.1050109528961,0,4.94157691740192,-17.1050109528961,0,2.54548146193099,-1.04407252361898,0,2.54548146193099,-1.04407252361898,0,2.46300267816341,0.671675982140208,0,2.46300267816341,0.671675982140208
