,Unnamed: 0,q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
30,30,0.0303853806684701,0.1235304770829416,0.0,-0.9776729286116784,-1.5643433485612834,-0.0,1.2439703572243492,-1.0927129174452423,-0.0,-0.070012201243254,0.1439180345489417,0.0,-0.8303128461128494,1.911207840871186,-0.0,1.3288268822159637,1.1292498650569902,-0.0,-0.1798349898453067,-0.0219266878438844,-0.0,0.3499549571442652,-1.842166164520596,0.0,-1.3184431088418038,-0.6672046634846887,0.0,0.1299158098432406,0.2865485035831525,-0.0,0.5267184130936781,1.4805214248855498,0.0,-1.2081579725897835,0.1324354233282504,0.0
31,31,0.030498165891666,0.1390538371047545,0.0,-0.9813982023259288,-1.5813352149463764,-0.0,1.2412484035777074,-1.097128207444971,-0.0,-0.0697498132576278,0.151366137454377,0.0,-0.8253716035135108,1.9016909023173616,-0.0,1.3317090237464648,1.1280940886500306,-0.0,-0.1798690730908009,-0.0230392006680315,-0.0,0.3452775106727905,-1.8402212790053865,0.0,-1.3201071048009652,-0.6688477617831072,0.0,0.1303403654570595,0.3164098855563511,-0.0,0.5307094337246955,1.460617236638808,0.0,-1.207480016906518,0.1112654207708366,0.0
32,32,0.0306214971491538,0.1533143095740448,0.0,-0.9851501378723262,-1.6001959713870122,-0.0,1.2385126841117893,-1.10081508905446,-0.0,-0.069478502789737,0.1589684060088917,0.0,-0.8204538901523443,1.89089413571302,-0.0,1.3345898802855507,1.1267762220331443,-0.0,-0.1799052986404331,-0.0239461851499688,-0.0,0.340603641254871,-1.8380042608989444,0.0,-1.321773603659243,-0.6703373266452128,0.0,0.1307950022471821,0.3481979836695306,-0.0,0.5346528984785763,1.4392877592317028,0.0,-1.2068736108923708,0.0882754096100758,0.0
33,33,0.0307599951514438,0.1654309936974358,0.0,-0.9889460597759115,-1.6207805208212274,-0.0,1.235769764483009,-1.1036754695841284,-0.0,-0.069192658492987,0.1664936877079599,0.0,-0.8155630731595851,1.8786123804242745,-0.0,1.3374664616615963,1.1252973242274305,-0.0,-0.179942970719835,-0.0246344775767285,-0.0,0.3359348402712446,-1.8355170497620243,0.0,-1.3234434495551943,-0.67157511368378,0.0,0.1312890874631021,0.3813157497535476,-0.0,0.5385408501667869,1.4164913111316892,0.0,-1.2063735176900376,0.0637742598637999,0.0
34,34,0.0309182806090464,0.1745229886815512,0.0,-0.992803292561727,-1.6429437661870587,-0.0,1.2330262103477816,-1.1056112563443945,-0.0,-0.0688866690207829,0.1737108300470554,0.0,-0.8107025196654681,1.86464047581724,-0.0,1.3403357777029767,1.1236584542539878,-0.0,-0.1799813935546385,-0.0250909142353424,-0.0,0.3312725991026491,-1.8327615851553825,0.0,-1.3251174866273765,-0.6724628785115835,0.0,0.1318319883543129,0.4151661356392589,-0.0,0.5423653316007928,1.3921862108062224,0.0,-1.206014500442215,0.0380708415498405,0.0
35,35,0.0311009742324719,0.1797093937330141,0.0,-0.9967391607548136,-1.6665406104225424,-0.0,1.230288587362521,-1.1065243566456782,-0.0,-0.0685549230265299,0.1803886805216521,0.0,-0.8058755968002281,1.8487732612580303,-0.0,1.3431948382380663,1.1218606711339152,-0.0,-0.1800198713704752,-0.0253023314128428,-0.0,0.3266184091298222,-1.8297398066397732,0.0,-1.326796559014347,-0.672902376741398,0.0,0.1324330721703082,0.4491520931575218,-0.0,0.5461183855920605,1.366330776722757,0.0,-1.2058313222915984,0.0114740246860291,0.0
36,36,0.0313238429591359,0.1812902012065923,0.0,-1.0007113167413764,-1.70081987927589,-0.0,1.227452484732315,-1.0868345860508803,-0.0,-0.0681954559332296,0.1867685031782893,0.0,-0.8009886391399795,1.8208101192676875,-0.0,1.3461170478349875,1.1114901007186604,-0.0,-0.1800622312463158,-0.0224424084905491,-0.0,0.3218617183529765,-1.8134888883916933,0.0,-1.3285272037155684,-0.6677353181898628,0.0,0.1330995859121887,0.4867968481364882,-0.0,0.5498310668166507,1.335729534218146,0.0,-1.2058066149630182,-0.0208431122799553,0.0
37,37,0.0316196984013718,0.1825195906004028,0.0,-1.0045652215369885,-1.7716585062465104,-0.0,1.224229368388394,-0.9921942167052812,-0.0,-0.0678168833183119,0.1940777961987852,0.0,-0.7957892295699881,1.752971560332432,-0.0,1.3493009952552113,1.0690799520342666,-0.0,-0.1801205480831462,-0.0086719395286577,-0.0,0.3167112464930655,-1.747857675606904,0.0,-1.3304282248389834,-0.6428182745332197,0.0,0.1338327044292578,0.5391151316764551,-0.0,0.5536056312080676,1.2918791378664851,0.0,-1.205794449753163,-0.0728304414211978,0.0
38,38,0.0319811063031179,0.183651288485875,0.0,-1.008338756094028,-1.8735043630832648,-0.0,1.2207155449085036,-0.833125627341767,-0.0,-0.067420158093512,0.2021285439040118,0.0,-0.7903638984832216,1.651045124018804,-0.0,1.352678629462502,0.9991436001946368,-0.0,-0.1801920309541368,0.0144730364238686,-0.0,0.3112699363554391,-1.6398074794347903,0.0,-1.3324560764847675,-0.6009058770092277,0.0,0.1346381448110301,0.6035546554931261,-0.0,0.5574161751843202,1.2371299700027223,0.0,-1.2057833953655834,-0.1412904636919263,0.0
39,39,0.0323977944255877,0.1846814804505217,0.0,-1.0120842081964327,-1.998498494245273,-0.0,1.2170350354390878,-0.6249247263099146,-0.0,-0.067005492575701,0.2106223553882711,0.0,-0.7848234925953704,1.5232771752718623,-0.0,1.3561627623381387,0.9082549178348888,-0.0,-0.1802727873611439,0.0447669169879586,-0.0,0.3056689057545955,-1.4994743204020526,0.0,-1.334555668640772,-0.5459942653299781,0.0,0.1355220577067409,0.6765587779407507,-0.0,0.5612272958032198,1.1746171917031527,0.0,-1.205773459491488,-0.2217657112846157,0.0
